date,state,district,total_enrolments,biometric_updates,demographic_updates,anomaly_score
2025-03-20,Assam,Marigaon,249,0.0,0.0,-0.11808924614010124
2025-03-20,Assam,Sonitpur,81,0.0,0.0,-0.21768519516382745
2025-03-20,Assam,Tinsukia,355,0.0,0.0,-0.06780180668210922
2025-03-20,Assam,Udalguri,90,0.0,0.0,-0.2124062903977404
2025-03-20,Bihar,Patna,80,0.0,0.0,-0.218352624315528
2025-03-20,Bihar,Sitamarhi,167,0.0,0.0,-0.1705501756768022
2025-03-20,Gujarat,Banas Kantha,380,0.0,0.0,-0.058654058369671525
2025-03-20,Gujarat,Patan,143,0.0,0.0,-0.18838911265884534
2025-03-20,Gujarat,Vadodara,89,0.0,0.0,-0.2129644699522908
2025-03-20,Karnataka,Bengaluru Urban,484,0.0,0.0,-0.026527268811958993
2025-03-20,Madhya Pradesh,Gwalior,116,0.0,0.0,-0.20637895031732617
2025-03-20,Maharashtra,Aurangabad,190,0.0,0.0,-0.1529370908320063
2025-03-20,Maharashtra,Thane,47,0.0,0.0,-0.22556016984565208
2025-03-20,Meghalaya,West Jaintia Hills,160,0.0,0.0,-0.1751872554823095
2025-03-20,Meghalaya,West Khasi Hills,241,0.0,0.0,-0.12354323210058332
2025-03-20,Punjab,Ludhiana,131,0.0,0.0,-0.19695089539980476
2025-03-20,Tamil Nadu,Kanchipuram,34,0.0,0.0,-0.2274549080050397
2025-03-20,Uttar Pradesh,Agra,346,0.0,0.0,-0.06996220319179786
2025-03-20,Uttar Pradesh,Aligarh,361,0.0,0.0,-0.06672335352361802
2025-03-20,Uttar Pradesh,Bahraich,175,0.0,0.0,-0.1626741078647752
2025-03-20,Uttar Pradesh,Firozabad,127,0.0,0.0,-0.19859609547772406
2025-03-20,Uttar Pradesh,Gautam Buddha Nagar,319,0.0,0.0,-0.08101875836218209
2025-03-20,Uttar Pradesh,Jaunpur,151,0.0,0.0,-0.18190964341729238
2025-03-20,Uttar Pradesh,Unnao,73,0.0,0.0,-0.2185963511687286
2025-03-20,Uttarakhand,Dehradun,176,0.0,0.0,-0.16094107138578728
2025-03-20,Uttarakhand,Nainital,75,0.0,0.0,-0.21910145211844156
2025-03-23,Bihar,Sitamarhi,85,0.0,0.0,-0.21468775572921622
2025-03-23,Madhya Pradesh,Gwalior,47,0.0,0.0,-0.22556016984565208
2025-03-23,Meghalaya,East Khasi Hills,137,0.0,0.0,-0.19367218663765917
2025-03-23,Meghalaya,West Khasi Hills,103,0.0,0.0,-0.2107906607811526
2025-03-23,Uttar Pradesh,Bahraich,96,0.0,0.0,-0.21080677020898708
2025-03-23,Uttar Pradesh,Jaunpur,108,0.0,0.0,-0.2099938019254443
2025-03-26,Meghalaya,West Jaintia Hills,211,0.0,0.0,-0.14159526890400576
2025-03-27,Bihar,Madhubani,86,0.0,0.0,-0.21420632785062377
2025-03-27,Bihar,Muzaffarpur,74,0.0,0.0,-0.21875356712756527
2025-03-27,Bihar,Pashchim Champaran,126,0.0,0.0,-0.19908021197341047
2025-03-27,Bihar,Sitamarhi,281,0.0,0.0,-0.10089122133135542
2025-03-27,Chhattisgarh,Bijapur,160,0.0,0.0,-0.1751872554823095
2025-03-27,Chhattisgarh,Raipur,100,0.0,0.0,-0.21089411410624204
2025-03-27,Gujarat,Banas Kantha,426,0.0,0.0,-0.047167155427298435
2025-03-27,Gujarat,Dohad,110,0.0,0.0,-0.20956007700524565
2025-03-27,Gujarat,Kachchh,56,0.0,0.0,-0.22228703280947243
2025-03-27,Gujarat,Morbi,71,0.0,0.0,-0.21788489856208332
2025-03-27,Gujarat,Patan,47,0.0,0.0,-0.22556016984565208
2025-03-27,Jharkhand,Deoghar,55,0.0,0.0,-0.22207480274313018
2025-03-27,Madhya Pradesh,Bhind,43,0.0,0.0,-0.22550555413826168
2025-03-27,Madhya Pradesh,Gwalior,94,0.0,0.0,-0.21112435450711087
2025-03-27,Maharashtra,Aurangabad,55,0.0,0.0,-0.22207480274313018
2025-03-27,Uttar Pradesh,Agra,207,0.0,0.0,-0.14428671699260676
2025-03-27,Uttar Pradesh,Aligarh,156,0.0,0.0,-0.17742240960538225
2025-03-27,Uttar Pradesh,Banda,66,0.0,0.0,-0.21947625232879342
2025-03-27,Uttar Pradesh,Bulandshahr,61,0.0,0.0,-0.21993193416621126
2025-03-27,Uttar Pradesh,Gorakhpur,60,0.0,0.0,-0.22044233787890677
2025-03-27,Uttar Pradesh,Jaunpur,75,0.0,0.0,-0.21910145211844156
2025-03-27,Uttar Pradesh,Kanpur Nagar,85,0.0,0.0,-0.21468775572921622
2025-03-27,Uttar Pradesh,Maharajganj,89,0.0,0.0,-0.2129644699522908
2025-03-27,Uttar Pradesh,Mathura,121,0.0,0.0,-0.20124588549332262
2025-03-28,Meghalaya,East Khasi Hills,54,0.0,0.0,-0.22229883551989815
2025-03-28,Meghalaya,West Khasi Hills,137,0.0,0.0,-0.19367218663765917
2025-03-29,Meghalaya,Ri Bhoi,67,0.0,0.0,-0.2190685219893585
2025-04-01,Assam,Baksa,1078,3072.0,0.0,0.13950712513398666
2025-04-01,Assam,Barpeta,215,11969.0,0.0,0.11230314155691246
2025-04-01,Assam,Biswanath,250,1786.0,0.0,-0.014166469522647218
2025-04-01,Assam,Bongaigaon,369,5647.0,1685.0,0.1666829974867884
2025-04-01,Assam,Cachar,1748,12349.0,0.0,0.2028997321794579
2025-04-01,Assam,Charaideo,305,551.0,0.0,-0.04896354958155258
2025-04-01,Assam,Chirang,567,3230.0,0.0,0.09305377933336267
2025-04-01,Assam,Darrang,1264,4889.0,0.0,0.16171470165622814
2025-04-01,Assam,Dhemaji,407,2174.0,0.0,0.046984810099326535
2025-04-01,Assam,Dhubri,1732,11013.0,0.0,0.2008381140104033
2025-04-01,Assam,Dibrugarh,514,5135.0,0.0,0.10333515318396835
2025-04-01,Assam,Goalpara,1164,3486.0,0.0,0.14954230160925264
2025-04-01,Assam,Golaghat,1213,1973.0,0.0,0.1271324218111648
2025-04-01,Assam,Hailakandi,463,1647.0,0.0,0.03995702792883793
2025-04-01,Assam,Hojai,1116,4229.0,0.0,0.15066318937194123
2025-04-01,Assam,Jorhat,520,1488.0,0.0,0.042565878361156995
2025-04-01,Assam,Kamrup,1324,9231.0,0.0,0.17871603345634435
2025-04-01,Assam,Kamrup Metro,885,4373.0,0.0,0.13622461617301107
2025-04-01,Assam,Karbi Anglong,1896,4055.0,0.0,0.18332758258953386
2025-04-01,Assam,Karimganj,1025,3484.0,0.0,0.13907402691631354
2025-04-01,Assam,Kokrajhar,564,5818.0,0.0,0.11313984610208638
2025-04-01,Assam,Lakhimpur,714,3977.0,0.0,0.11632675760413402
2025-04-01,Assam,Marigaon,1093,6220.0,0.0,0.15665366425624294
2025-04-01,Assam,Nagaon,776,13713.0,0.0,0.16908175199043984
2025-04-01,Assam,Nalbari,181,1753.0,0.0,-0.037493600493463175
2025-04-01,Assam,North Cachar Hills,408,279.0,0.0,-0.031140045010139783
2025-04-01,Assam,Sibsagar,579,1005.0,0.0,0.03225668808533788
2025-04-01,Assam,Sonitpur,372,4323.0,0.0,0.07832465717986514
2025-04-01,Assam,South Salmara Mankachar,308,521.0,0.0,-0.0516156176738628
2025-04-01,Assam,Tinsukia,991,2110.0,0.0,0.11607201719430871
2025-04-01,Assam,Udalguri,1130,3273.0,0.0,0.14778447786679283
2025-04-01,Assam,West Karbi Anglong,483,350.0,0.0,-0.004835583476868854
2025-04-01,Bihar,Bhagalpur,1238,24587.0,2651.0,0.2610097954432493
2025-04-01,Bihar,East Champaran,4052,34487.0,0.0,0.26189757654595125
2025-04-01,Bihar,Gaya,1862,32264.0,0.0,0.2448404790387868
2025-04-01,Bihar,Jamui,1692,12176.0,0.0,0.20204004649991736
2025-04-01,Bihar,Jehanabad,418,5670.0,0.0,0.09227790680639536
2025-04-01,Bihar,Kaimur (Bhabua),357,10966.0,0.0,0.12456908454083737
2025-04-01,Bihar,Madhubani,933,40748.0,0.0,0.22208126496004077
2025-04-01,Bihar,Munger,491,7553.0,0.0,0.11620018282047884
2025-04-01,Bihar,Muzaffarpur,2089,35032.0,0.0,0.24884324566253857
2025-04-01,Bihar,Patna,3399,33080.0,0.0,0.2580146428373762
2025-04-01,Bihar,Purnia,814,37542.0,0.0,0.21558153768667743
2025-04-01,Bihar,Saran,327,19989.0,0.0,0.16684575473061147
2025-04-01,Bihar,Sitamarhi,4564,27227.0,0.0,0.2569086067700672
2025-04-01,Bihar,Vaishali,497,28719.0,0.0,0.1979584730431343
2025-04-01,Bihar,West Champaran,6709,26179.0,0.0,0.2634201417667543
2025-04-01,Chandigarh,Chandigarh,117,7921.0,6663.0,0.22285718686199174
2025-04-01,Chhattisgarh,Bijapur,658,3535.0,0.0,0.10837663713065926
2025-04-01,Chhattisgarh,Durg,384,19191.0,3321.0,0.23981209244349444
2025-04-01,Chhattisgarh,Raipur,322,19183.0,2444.0,0.230844802247533
2025-04-01,Chhattisgarh,Sukma,381,2387.0,0.0,0.048651807635444966
2025-04-01,Delhi,Central Delhi,133,10564.0,4349.0,0.22027117237987082
2025-04-01,Delhi,East Delhi,912,26553.0,15592.0,0.2839104302392036
2025-04-01,Delhi,North West Delhi,1306,65071.0,31203.0,0.29598518140062036
2025-04-01,Delhi,Shahdara,319,1624.0,2497.0,0.15644185366077457
2025-04-01,Delhi,South Delhi,563,52703.0,16386.0,0.2852436126857878
2025-04-01,Delhi,South West Delhi,825,27687.0,13156.0,0.28276937639903565
2025-04-01,Delhi,West Delhi,1872,35806.0,28748.0,0.3025733445302903
2025-04-01,Gujarat,Ahmedabad,122,45881.0,8096.0,0.27050642465603825
2025-04-01,Gujarat,Amreli,238,7475.0,0.0,0.07753824230727657
2025-04-01,Gujarat,Anand,241,13887.0,0.0,0.1239866560308528
2025-04-01,Gujarat,Arvalli,206,3239.0,0.0,0.021607677549039472
2025-04-01,Gujarat,Banaskantha,4044,13363.0,0.0,0.23057120783028007
2025-04-01,Gujarat,Bharuch,211,9411.0,0.0,0.09134832409089377
2025-04-01,Gujarat,Bhavnagar,628,17104.0,0.0,0.17733881532301699
2025-04-01,Gujarat,Botad,332,1545.0,0.0,-0.0007098142021896292
2025-04-01,Gujarat,Chhotaudepur,482,4683.0,0.0,0.09733696089855348
2025-04-01,Gujarat,Dahod,2071,15931.0,0.0,0.22223654290808315
2025-04-01,Gujarat,Devbhumi Dwarka,284,3364.0,0.0,0.0446551014294263
2025-04-01,Gujarat,Gandhinagar,789,9207.0,0.0,0.15193581050817484
2025-04-01,Gujarat,Gir Somnath,1706,4160.0,0.0,0.17881559355010934
2025-04-01,Gujarat,Jamnagar,316,8705.0,0.0,0.10028300017795855
2025-04-01,Gujarat,Junagadh,289,11199.0,0.0,0.11798074969016248
2025-04-01,Gujarat,Kachchh,907,16204.0,0.0,0.18419738372155614
2025-04-01,Gujarat,Kheda,655,13803.0,0.0,0.16186994066328986
2025-04-01,Gujarat,Mahesana,553,9334.0,0.0,0.13429747683481752
2025-04-01,Gujarat,Mahisagar,138,3262.0,0.0,0.0029760824969650157
2025-04-01,Gujarat,Morbi,1171,4223.0,0.0,0.15479472702878505
2025-04-01,Gujarat,Navsari,176,5468.0,0.0,0.049669238155144346
2025-04-01,Gujarat,Panchmahals,902,9989.0,0.0,0.1630239965716651
2025-04-01,Gujarat,Patan,1198,8109.0,0.0,0.16941210206772328
2025-04-01,Gujarat,Porbandar,349,3881.0,0.0,0.06615552383472612
2025-04-01,Gujarat,Rajkot,1967,19458.0,6233.0,0.28581562120137993
2025-04-01,Gujarat,Sabarkantha,696,10658.0,0.0,0.15120597752210907
2025-04-01,Gujarat,Surat,4188,37431.0,6150.0,0.30237885309940293
2025-04-01,Gujarat,Surendra Nagar,686,11671.0,0.0,0.15329392049117285
2025-04-01,Gujarat,Tapi,93,5851.0,0.0,0.03171362217241813
2025-04-01,Gujarat,The Dangs,120,4575.0,0.0,0.023470736814786508
2025-04-01,Gujarat,Vadodara,1184,21797.0,0.0,0.20910792827697
2025-04-01,Gujarat,Valsad,904,10784.0,632.0,0.17970952933750217
2025-04-01,Haryana,Faridabad,1606,15025.0,12488.0,0.2821994282339082
2025-04-01,Haryana,Gurgaon,722,8888.0,11796.0,0.25363751517667066
2025-04-01,Jammu and Kashmir,Punch,211,5839.0,1621.0,0.1551674918317988
2025-04-01,Jharkhand,Deoghar,723,12598.0,0.0,0.1593037816157341
2025-04-01,Jharkhand,Dumka,89,17248.0,0.0,0.1337042948817324
2025-04-01,Jharkhand,East Singhbhum,120,25141.0,0.0,0.16491412156670282
2025-04-01,Jharkhand,Godda,136,17530.0,0.0,0.14241659970033083
2025-04-01,Jharkhand,Hazaribagh,248,12931.0,0.0,0.1209823198936224
2025-04-01,Jharkhand,Lohardaga,308,7520.0,0.0,0.09330110273654846
2025-04-01,Jharkhand,Pakur,962,6406.0,0.0,0.150538941023879
2025-04-01,Jharkhand,Ranchi,1120,33609.0,0.0,0.22632538265208302
2025-04-01,Karnataka,Bengaluru,7847,39369.0,7002.0,0.30960432939945814
2025-04-01,Karnataka,Kalaburagi,608,7075.0,2352.0,0.2103899928121934
2025-04-01,Karnataka,Mysuru,485,6868.0,589.0,0.13544340621221618
2025-04-01,Karnataka,Yadgir,646,7143.0,620.0,0.14890175605059774
2025-04-01,Madhya Pradesh,Alirajpur,254,8861.0,0.0,0.08797408628781966
2025-04-01,Madhya Pradesh,Ashok Nagar,531,12444.0,0.0,0.14747744938616147
2025-04-01,Madhya Pradesh,Barwani,820,27534.0,6717.0,0.2765211054994502
2025-04-01,Madhya Pradesh,Betul,223,22093.0,772.0,0.18439261581564592
2025-04-01,Madhya Pradesh,Bhind,1051,8753.0,0.0,0.16291024294284961
2025-04-01,Madhya Pradesh,Bhopal,383,21417.0,4079.0,0.25015891189537
2025-04-01,Madhya Pradesh,Burhanpur,802,7763.0,0.0,0.14332905960468467
2025-04-01,Madhya Pradesh,Chhatarpur,850,23269.0,0.0,0.20377946091697263
2025-04-01,Madhya Pradesh,Datia,302,6881.0,0.0,0.09061925046502395
2025-04-01,Madhya Pradesh,Dewas,502,14301.0,0.0,0.15674242159338547
2025-04-01,Madhya Pradesh,Dhar,619,19775.0,3153.0,0.24906349879918366
2025-04-01,Madhya Pradesh,Guna,784,17153.0,0.0,0.18285606468252036
2025-04-01,Madhya Pradesh,Gwalior,1338,16700.0,1788.0,0.23617580169597308
2025-04-01,Madhya Pradesh,Indore,1083,26974.0,6245.0,0.27916620880558796
2025-04-01,Madhya Pradesh,Jabalpur,159,18735.0,1534.0,0.20802330864784235
2025-04-01,Madhya Pradesh,Jhabua,886,13749.0,0.0,0.17552191265340467
2025-04-01,Madhya Pradesh,Katni,413,11404.0,0.0,0.13252620980171237
2025-04-01,Madhya Pradesh,Khandwa,420,8518.0,0.0,0.1120344640636971
2025-04-01,Madhya Pradesh,Khargone,935,25030.0,0.0,0.21070147360375957
2025-04-01,Madhya Pradesh,Morena,1568,20112.0,3310.0,0.26714219354773194
2025-04-01,Madhya Pradesh,Panna,159,17292.0,0.0,0.1435322170680421
2025-04-01,Madhya Pradesh,Raisen,515,17712.0,2461.0,0.23567457810627268
2025-04-01,Madhya Pradesh,Sagar,221,28690.0,2889.0,0.24450448672251135
2025-04-01,Madhya Pradesh,Satna,437,22374.0,3928.0,0.25217102311164097
2025-04-01,Madhya Pradesh,Sheopur,396,7215.0,0.0,0.10243971240457395
2025-04-01,Madhya Pradesh,Shivpuri,869,15454.0,0.0,0.18034760496343094
2025-04-01,Madhya Pradesh,Vidisha,831,14239.0,0.0,0.17353428814510208
2025-04-01,Maharashtra,Ahmadnagar,96,29357.0,0.0,0.16914855636078863
2025-04-01,Maharashtra,Aurangabad,791,26296.0,2226.0,0.25217102311164097
2025-04-01,Maharashtra,Beed,450,26575.0,2673.0,0.25015891189537
2025-04-01,Maharashtra,Chandrapur,221,19196.0,441.0,0.16546999465048284
2025-04-01,Maharashtra,Hingoli,1144,9850.0,0.0,0.17585518118110577
2025-04-01,Maharashtra,Jalgaon,423,37342.0,0.0,0.19981550630289824
2025-04-01,Maharashtra,Latur,294,29593.0,0.0,0.1867242186975081
2025-04-01,Maharashtra,Mumbai Suburban,542,18919.0,3189.0,0.24433380003756278
2025-04-01,Maharashtra,Nagpur,566,39515.0,773.0,0.22333769834088002
2025-04-01,Maharashtra,Nanded,607,30376.0,0.0,0.20480337168096685
2025-04-01,Maharashtra,Nandurbar,282,17017.0,1046.0,0.1867577902171692
2025-04-01,Maharashtra,Palghar,280,12737.0,0.0,0.12717353093374573
2025-04-01,Maharashtra,Parbhani,161,16163.0,0.0,0.13423258216742406
2025-04-01,Maharashtra,Pune,69,63875.0,6218.0,0.271813990548038
2025-04-01,Maharashtra,Raigad,335,1593.0,565.0,0.029674070255892415
2025-04-01,Maharashtra,Satara,236,19146.0,0.0,0.1536752566776649
2025-04-01,Maharashtra,Solapur,660,32900.0,0.0,0.21034216364104463
2025-04-01,Maharashtra,Thane,3434,52237.0,4075.0,0.29579217562253624
2025-04-01,Manipur,Churachandpur,632,1821.0,0.0,0.07617320570765418
2025-04-01,Meghalaya,East Garo Hills,1908,384.0,0.0,0.12749145734401135
2025-04-01,Meghalaya,East Jaintia Hills,1482,298.0,0.0,0.1045907562957914
2025-04-01,Meghalaya,East Khasi Hills,7798,3217.0,0.0,0.21822635432473125
2025-04-01,Meghalaya,North Garo Hills,1495,207.0,0.0,0.10588070983940356
2025-04-01,Meghalaya,Ri Bhoi,2333,449.0,0.0,0.13474567325672038
2025-04-01,Meghalaya,South Garo Hills,1418,279.0,0.0,0.0955556061688938
2025-04-01,Meghalaya,South West Garo Hills,1775,597.0,0.0,0.11936715405420695
2025-04-01,Meghalaya,South West Khasi Hills,988,407.0,0.0,0.0653855441157356
2025-04-01,Meghalaya,West Garo Hills,3703,4274.0,0.0,0.20723839694084767
2025-04-01,Meghalaya,West Jaintia Hills,2917,848.0,0.0,0.14844816162205499
2025-04-01,Meghalaya,West Khasi Hills,4695,905.0,0.0,0.16666224241891292
2025-04-01,Mizoram,Champhai,368,3722.0,0.0,0.0697287642487795
2025-04-01,Nagaland,Chumukedima,86,90.0,0.0,-0.1912661085237527
2025-04-01,Nagaland,Dimapur,783,2995.0,0.0,0.11662441023170611
2025-04-01,Nagaland,Kohima,646,1761.0,0.0,0.07646017765961921
2025-04-01,Nagaland,Longleng,369,351.0,0.0,-0.03536158327658767
2025-04-01,Nagaland,Noklak,128,95.0,0.0,-0.1758184506959123
2025-04-01,Nagaland,Peren,544,653.0,0.0,0.01493577509739974
2025-04-01,Nagaland,Phek,447,1651.0,0.0,0.037604504129846505
2025-04-01,Nagaland,Tuensang,503,1162.0,0.0,0.023731565141440703
2025-04-01,Odisha,Nabarangapur,276,12997.0,0.0,0.12919091040563602
2025-04-01,Punjab,Amritsar,1222,21794.0,0.0,0.21067042148886972
2025-04-01,Punjab,Gurdaspur,318,15370.0,2775.0,0.225335651090518
2025-04-01,Punjab,Hoshiarpur,336,11234.0,1478.0,0.1820503528185592
2025-04-01,Punjab,Kapurthala,672,7417.0,0.0,0.1344902036065404
2025-04-01,Punjab,Ludhiana,2759,24426.0,2518.0,0.27520168242336196
2025-04-01,Punjab,SAS Nagar (Mohali),280,6404.0,2497.0,0.18448287914617756
2025-04-01,Punjab,Sangrur,166,8797.0,0.0,0.07288436764928863
2025-04-01,Rajasthan,Ajmer,1239,13174.0,3258.0,0.24669518270061197
2025-04-01,Rajasthan,Alwar,1032,19997.0,4430.0,0.26323447951393963
2025-04-01,Rajasthan,Baran,464,6415.0,1576.0,0.17655877562658062
2025-04-01,Rajasthan,Bharatpur,287,11680.0,2478.0,0.20623189544297327
2025-04-01,Rajasthan,Bikaner,829,13486.0,4508.0,0.2492459647277061
2025-04-01,Rajasthan,Bundi,465,5248.0,557.0,0.12050409945547236
2025-04-01,Rajasthan,Churu,469,13137.0,2893.0,0.22586711298403284
2025-04-01,Rajasthan,Dholpur,1344,6203.0,1449.0,0.20539405765118923
2025-04-01,Rajasthan,Dungarpur,162,7868.0,0.0,0.0688184006151823
2025-04-01,Rajasthan,Jaipur,3434,40432.0,13257.0,0.3064723986769725
2025-04-01,Rajasthan,Jalor,1982,9097.0,0.0,0.20238380444579607
2025-04-01,Rajasthan,Jhalawar,173,5668.0,664.0,0.08542141469548126
2025-04-01,Rajasthan,Jodhpur,2276,24226.0,4597.0,0.2833397103137737
2025-04-01,Rajasthan,Karauli,465,6940.0,0.0,0.11035796298844103
2025-04-01,Rajasthan,Kota,68,8995.0,3377.0,0.21068662076545552
2025-04-01,Rajasthan,Nagaur,873,19779.0,4824.0,0.2619360155045135
2025-04-01,Rajasthan,Pali,187,14799.0,0.0,0.13231983351465737
2025-04-01,Rajasthan,Sikar,335,17322.0,1226.0,0.20175261549865753
2025-04-01,Rajasthan,Sirohi,626,6747.0,1276.0,0.18035894652519768
2025-04-01,Rajasthan,Udaipur,132,15797.0,1072.0,0.18281166022644768
2025-04-01,Sikkim,South Sikkim,49,403.0,0.0,-0.1563923299193033
2025-04-01,Sikkim,West Sikkim,127,848.0,0.0,-0.11826712742980122
2025-04-01,Tamil Nadu,Kancheepuram,328,23779.0,3123.0,0.2428840788822728
2025-04-01,Tamil Nadu,Madurai,115,24984.0,2033.0,0.2312015557264231
2025-04-01,Tamil Nadu,Thanjavur,56,18634.0,634.0,0.17911041683758322
2025-04-01,Telangana,Hyderabad,306,21042.0,4091.0,0.24742315592992614
2025-04-01,Telangana,K.v. Rangareddy,212,22541.0,1910.0,0.22334296427732303
2025-04-01,Telangana,Medchal-malkajgiri,116,2881.0,0.0,-0.01565502745660574
2025-04-01,Tripura,Unakoti,50,3870.0,0.0,0.014454980419330132
2025-04-01,Tripura,West Tripura,236,14551.0,0.0,0.13058700453557015
2025-04-01,Uttar Pradesh,Agra,1437,33549.0,0.0,0.2361758016959732
2025-04-01,Uttar Pradesh,Aligarh,1767,27466.0,10374.0,0.29482779938757486
2025-04-01,Uttar Pradesh,Ambedkar Nagar,312,9240.0,0.0,0.10693067187948024
2025-04-01,Uttar Pradesh,Amroha,580,13399.0,0.0,0.15573464636074152
2025-04-01,Uttar Pradesh,Azamgarh,589,21765.0,0.0,0.18620396929101168
2025-04-01,Uttar Pradesh,Baghpat,553,6767.0,2727.0,0.2123394413941322
2025-04-01,Uttar Pradesh,Bahraich,3813,25465.0,0.0,0.24993836051646745
2025-04-01,Uttar Pradesh,Balrampur,1103,12054.0,0.0,0.1773501107864135
2025-04-01,Uttar Pradesh,Banda,841,11142.0,0.0,0.16367645470511272
2025-04-01,Uttar Pradesh,Bara Banki,254,20515.0,0.0,0.15933226069594775
2025-04-01,Uttar Pradesh,Bareilly,4264,30874.0,1179.0,0.27050642465603825
2025-04-01,Uttar Pradesh,Basti,289,14864.0,0.0,0.14418788616549505
2025-04-01,Uttar Pradesh,Budaun,760,12493.0,0.0,0.16335015206434944
2025-04-01,Uttar Pradesh,Bulandshahr,1188,24012.0,3355.0,0.2647209506188073
2025-04-01,Uttar Pradesh,Chandauli,428,12999.0,0.0,0.1422871297094428
2025-04-01,Uttar Pradesh,Etah,1091,16015.0,0.0,0.19145008841072664
